Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
24_t6_Px_52,mtab_Zoop2_BC_lumos_071423_046.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
25_t6_Px_12,mtab_Zoop2_BC_lumos_071423_031.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.07
26_t6_Px_11,mtab_Zoop2_BC_lumos_071423_044.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.07
27_t12_ctrl_2,mtab_Zoop2_BC_lumos_071423_040.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.07
28_t12_ctrl_5,mtab_Zoop2_BC_lumos_071423_038.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
29_t12_ctrl_25,mtab_Zoop2_BC_lumos_071423_029.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,0,0.08
30_t12_Px_57,mtab_Zoop2_BC_lumos_071423_036.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
31_t12_Px_10,mtab_Zoop2_BC_lumos_071423_045.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
32_t12_Px_18,mtab_Zoop2_BC_lumos_071423_043.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
33_t12_Euph_24,mtab_Zoop2_BC_lumos_071423_041.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_034.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,12,0,4259,0.01
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_035.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,3567,0.01
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_047.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.08
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_028.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,13,0,0,0.08
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_048.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.07
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_037.raw,Unknown,heavyC13,precursor,,,molecules,2′deoxycytidine,336.12963,336.12963,11,0,0,0.07
MQ1,mtab_Zoop2_BC_lumos_071423_003.raw,Double Blank,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,30,0,0,0.14
MQ2,mtab_Zoop2_BC_lumos_071423_096.raw,Double Blank,light,precursor,,,molecules,2′deoxyguanosine,370.1157,370.1157,26,0,0,0.14
